Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2026-01-22 13:53:46,false,"Fairfax County Running","3.29","319","00:24:39","167","186","161","192","7:29","4:28","107","107","1.34","0.0","3,970","-9","No","00:02:00.8","4","00:24:38","00:24:39","312","394"
Running,2026-01-17 15:29:08,false,"Fairfax County Running","3.38","312","00:25:13","160","173","161","205","7:27","3:59","118","118","1.34","0.0","4,042","-8","No","00:02:39.3","4","00:25:11","00:25:13","318","394"
Running,2026-01-13 13:45:42,false,"Fairfax County Running","3.16","291","00:23:54","157","178","159","207","7:33","4:08","99","117","1.34","0.0","3,802","-6","No","00:01:03.2","4","00:23:53","00:23:54","313","394"
Running,2026-01-12 13:59:11,false,"Fairfax County Running","3.58","337","00:27:07","161","180","160","189","7:35","5:32","139","139","1.33","0.0","4,328","-9","No","00:04:17.9","4","00:27:05","00:27:07","305","394"
Running,2026-01-11 13:38:22,false,"Fairfax County Running","1.39","133","00:10:23","165","180","159","198","7:27","4:28","69","77","1.35","0.0","1,660","-3","No","00:02:55.2","2","00:10:22","00:10:23","292","393"
Running,2026-01-11 13:29:02,false,"Fairfax County Running","1.01","88","00:07:39.3","151","174","158","165","7:35","6:30","59","79","1.34","0.0","1,220","-2","No","00:00:05.5","2","00:07:38","00:07:39.3","305","358"
Running,2026-01-09 12:45:20,false,"Fairfax County Running","2.96","293","00:22:23","168","184","160","192","7:33","5:38","119","132","1.33","0.0","3,588","-9","No","00:07:12.9","3","00:22:21","00:22:23","305","393"
Running,2026-01-07 13:54:32,false,"Fairfax County Running","3.53","356","00:27:30","166","181","159","189","7:47","4:36","132","146","1.30","0.0","4,370","-10","No","00:04:01.5","4","00:27:28","00:27:30","305","394"
Running,2025-12-29 11:40:36,false,"Fairfax County Running","1.20","113","00:08:33.3","167","175","164","212","7:07","4:09","41","42","1.38","0.0","1,470","-4","No","00:01:22.1","2","00:08:32.3","00:08:33.3","336","394"
Running,2025-12-29 11:34:00,false,"Fairfax County Running","0.58","55","00:04:27.6","157","160","157","165","7:43","6:41","26","--","1.33","0.0","712","-1","No","00:04:27.6","1","00:04:27.6","00:04:27.6","340","380"
Running,2025-12-29 11:27:10,false,"Fairfax County Running","0.73","69","00:05:31.1","160","165","160","165","7:33","6:33","--","23","1.33","0.0","880","-1","No","00:05:31.1","1","00:05:31","00:05:31.1","316","352"
Running,2025-12-29 10:59:32,false,"Fairfax County Running","2.67","261","00:21:23","158","178","152","207","8:00","4:19","111","113","1.32","0.0","3,294","-8","No","00:06:20.6","3","00:21:11","00:21:23","305","393"
Running,2025-12-25 12:58:12,false,"Fairfax County Running","2.18","201","00:15:43","162","181","161","176","7:13","4:36","113","113","1.39","0.0","2,546","-6","No","00:01:11.3","3","00:15:43","00:15:43","304","394"
Running,2025-12-24 12:44:12,false,"Fairfax County Running","3.01","290","00:22:07","163","184","161","177","7:22","6:04","76","112","1.35","0.0","3,550","-9","No","00:00:02.6","4","00:22:05","00:22:07","312","394"
Running,2025-12-19 12:59:21,false,"Fairfax County Running","0.44","37","00:02:53.6","162","176","165","212","6:33","4:27","26","22","1.49","0.0","478","-1","No","00:02:53.6","1","00:02:53.6","00:02:53.6","311","358"
Running,2025-12-19 12:53:08,false,"Fairfax County Running","0.60","51","00:03:43.3","168","181","170","179","6:13","5:22","--","43","1.53","0.0","634","-2","No","00:03:43.3","1","00:03:43","00:03:43.3","339","393"
Running,2025-12-19 12:37:10,false,"Fairfax County Running","1.88","188","00:15:33","155","174","151","173","8:15","7:03","116","82","1.29","0.0","2,416","-6","No","00:07:43.9","2","00:15:32","00:15:33","305","393"
Running,2025-12-18 11:58:35,false,"Fairfax County Running","4.05","440","00:33:20","168","187","152","230","8:13","4:48","171","171","1.29","0.0","5,114","-16","No","00:00:17.8","5","00:33:13","00:33:20","313","394"
Running,2025-12-03 13:12:20,false,"Fairfax County Running","3.38","306","00:24:55","150","175","163","195","7:22","5:29","115","117","1.34","0.0","4,046","-6","No","00:02:34.1","4","00:24:54","00:24:55","318","394"
